aphiaidaccepted;scientificnameaccepted;phy_or_not;phylum;scientificnameauthorship
101195;Strombidium;phy;Ciliophora;Claparède & Lachmann, 1859
101279;Strombidium bilobum;phy;Ciliophora;Lynn & Gilron, 1993
101289;Strombidium conicum;phy;Ciliophora;(Lohmann, 1908) Wulff, 1919
732820;Strombidium emergens;phy;Ciliophora;(Leegaard, 1915) Busch, 1921
101325;Strombidium reticulatum;phy;Ciliophora;(Leegaard, 1915) Busch, 1921
101335;Strombidium sulcatum;phy;Ciliophora;Claparède & Lachmann, 1859
247913;Tiarina;phy;Ciliophora;Berg, 1881
247943;Tiarina fusus;phy;Ciliophora;Bergh, 1881
163780;Tintinnopsis;phy;Ciliophora;Stein, 1867
163782;Tintinnopsis beroidea;phy;Ciliophora;Stein, 1867
163913;Tintinnopsis campanula;phy;Ciliophora;Ehrenberg, 1840
417146;Tintinnopsis cylindrata;phy;Ciliophora;Kofoid & Campbell, 1892
163919;Tintinnopsis lobiancoi;phy;Ciliophora;Daday, 1887
232076;Tintinnopsis minuta;phy;Ciliophora;Wailes, 1925
232077;Tintinnopsis nucula;phy;Ciliophora;(Fol, 1884)
427436;Tintinnopsis turbo;phy;Ciliophora;Meunier, 1919
101196;Tontonia;phy;Ciliophora;Fauré-Fremiet, 1914
427744;Tontonia ovalis;phy;Ciliophora;(Leegaard, 1915) Laval-Peuto & Rassoulzadegan, 1987
163573;Vorticella;phy;Ciliophora;Linnaeus, 1767
106281;Chroomonas;phy;Cryptophyta;Hansgirg, 1885
106295;Chroomonas vectensis;phy;Cryptophyta;N.Carter, 1937
146167;Cryptaulax;phy;Cryptophyta;Skuja, 1948
146168;Cryptaulax marina;phy;Cryptophyta;J.Throndsen, 1969
106282;Cryptomonas;phy;Cryptophyta;Ehrenberg, 1831
106286;Goniomonas;phy;Cryptophyta;Stein, 1878
106287;Hemiselmis;phy;Cryptophyta;Parke, 1949
106310;Hemiselmis virescens;phy;Cryptophyta;Droop, 1955
178565;Hillea;phy;Cryptophyta;Schiller, 1925
178567;Hillea fusiformis;phy;Cryptophyta;(J.Schiller) J.Schiller, 1925
627117;Katablepharis remigera;phy;Cryptophyta;(N.Vørs) B.Clay & P.Kugrens, 2000
17651;Leucocryptos;phy;Cryptophyta;Butcher, 1967
